road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v
edge_000001,9249685505,9249685502,0,"[1300273674, 1000800051]",node_000001,node_000981
edge_000002,9249685506,9249685505,0,1002196769,node_000002,node_000001
edge_000003,321617925,321617927,0,1503593355,node_000003,node_000004
edge_000004,321617925,321617927,1,139831161,node_000003,node_000004
edge_000005,321617927,13760687090,0,1503593355,node_000004,node_003964
edge_000006,321617927,11583971726,0,139831161,node_000004,node_002857
edge_000007,249561097,249561104,0,242787710,node_000005,node_000011
edge_000008,384253962,384253963,0,33615660,node_000006,node_000007
edge_000009,384253963,8510247018,0,"[29152117, 33615462]",node_000007,node_001300
edge_000010,1406795788,321719317,0,127031069,node_000008,node_000947
edge_000011,321617933,10312453383,0,167454088,node_000009,node_001020
edge_000012,249561104,1359330042,0,"[121399390, 121399414]",node_000011,node_005435
edge_000013,249561104,701732960,0,739539780,node_000011,node_002071
edge_000014,1406795796,323139249,0,"[127031014, 127031096, 127031091, 127031030, 1277603800]",node_000014,node_004934
edge_000015,11205361687,124185804,0,"[165756705, 150899337, 1192350654]",node_000016,node_004041
edge_000016,8823259165,320486961,0,"[1023638723, 1023638724, 241923630]",node_000017,node_005711
edge_000017,1637646369,605307482,0,1233257224,node_000018,node_000224
edge_000018,279855139,279855121,0,155236064,node_000019,node_000012
edge_000019,1637646373,1290300948,0,1073286327,node_000020,node_004161
edge_000020,610844719,610845208,0,"[127697039, 122496339, 739536532, 122496342, 127697046, 122496344, 122496343]",node_000021,node_000187
edge_000021,1637646385,567684024,0,150899349,node_000022,node_003944
edge_000022,1637646385,10779655510,0,188596831,node_000022,node_005652
edge_000023,610844725,610844739,0,48044049,node_000023,node_000027
edge_000024,610844725,1412757515,0,"[84355052, 739536533, 84355086]",node_000023,node_005126
edge_000025,289275959,289275967,0,26403973,node_000024,node_000026
edge_000026,289275959,35862246,0,26404002,node_000024,node_004966
edge_000027,4714905655,606761124,0,1293021875,node_000025,node_004337
edge_000028,289275967,1293134839,0,"[1188308800, 152587379, 152587364]",node_000026,node_003966
edge_000029,1637646404,296345930,0,150899319,node_000028,node_002838
