u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,speed_kph,travel_time,road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v,bridge,tunnel,access,junction
9249685505,9249685502,0,"[1300273674, 1000800051]",trunk,3,60,北苑南路,True,G103,False,252.7576627989434,"LINESTRING (116.6543101 39.8886715, 116.6518648 39.8893908, 116.6515439 39.8894852)",60.0,15.165459767936605,edge_000001,9249685505,9249685502,0,"[1300273674, 1000800051]",node_000001,node_000981,,,,
9249685506,9249685505,0,1002196769,trunk_link,1,,,True,,False,36.02282506727525,"LINESTRING (116.6547315 39.88867, 116.6546727 39.8886744, 116.6544609 39.8886654, 116.6543101 39.8886715)",48.75,2.660147081891095,edge_000002,9249685506,9249685505,0,1002196769,node_000002,node_000001,,,,
321617925,321617927,0,1503593355,motorway,3,120,,True,,False,412.12883668288003,"LINESTRING (116.3388499 39.8207712, 116.3386476 39.8170681)",120.0,12.3638651004864,edge_000003,321617925,321617927,0,1503593355,node_000003,node_000004,,,,
321617925,321617927,1,139831161,motorway,3,120,京开高速,True,G106,False,412.31497554957184,"LINESTRING (116.3388499 39.8207712, 116.3386849 39.8190751, 116.3386476 39.8170681)",120.0,12.369449266487155,edge_000004,321617925,321617927,1,139831161,node_000003,node_000004,,,,
321617927,13760687090,0,1503593355,motorway,3,120,,True,,False,501.8398461171634,"LINESTRING (116.3386476 39.8170681, 116.338845 39.8125575)",120.0,15.055195383514901,edge_000005,321617927,13760687090,0,1503593355,node_000004,node_003964,,,,
321617927,11583971726,0,139831161,motorway,3,120,京开高速,True,G106,False,308.12700053707124,"LINESTRING (116.3386476 39.8170681, 116.3387298 39.8148995, 116.3387594 39.8142984)",120.0,9.243810016112137,edge_000006,321617927,11583971726,0,139831161,node_000004,node_002857,,,,
249561097,249561104,0,242787710,motorway,3,,京藏高速,True,G6;G110,False,44.71024201577461,"LINESTRING (116.3709039 39.990337, 116.3710477 39.9899503)",103.4102564102564,1.5564884649181145,edge_000007,249561097,249561104,0,242787710,node_000005,node_000011,,,,
384253962,384253963,0,33615660,motorway_link,,,,True,,False,82.32395434191679,"LINESTRING (116.4978292 39.8693486, 116.4987777 39.8694834)",51.666666666666664,5.736120689630331,edge_000008,384253962,384253963,0,33615660,node_000006,node_000007,,,,
384253963,8510247018,0,"[29152117, 33615462]",motorway,3,,京哈高速,True,G1;AH1,False,289.0448039538896,"LINESTRING (116.4987777 39.8694834, 116.5009625 39.8694206, 116.5021622 39.8693864)",103.4102564102564,10.06245734567967,edge_000009,384253963,8510247018,0,"[29152117, 33615462]",node_000007,node_001300,yes,,,
1406795788,321719317,0,127031069,motorway_link,,,,True,,False,703.4948129809575,"LINESTRING (116.7288193 39.9268671, 116.7285731 39.9267719, 116.7271001 39.9263105, 116.7256424 39.925938, 116.721082 39.9246798)",51.666666666666664,49.01770309802801,edge_000010,1406795788,321719317,0,127031069,node_000008,node_000947,,,,
