osmid,y,x,street_count,road_node_id,original_node_id,highway,ref,junction,geometry
9249685505,39.8886715,116.6543101,3,node_000001,9249685505,,,,POINT (116.6543101 39.8886715)
9249685506,39.88867,116.6547315,3,node_000002,9249685506,,,,POINT (116.6547315 39.88867)
321617925,39.8207712,116.3388499,3,node_000003,321617925,,,,POINT (116.3388499 39.8207712)
321617927,39.8170681,116.3386476,4,node_000004,321617927,,,,POINT (116.3386476 39.8170681)
249561097,39.990337,116.3709039,3,node_000005,249561097,,,,POINT (116.3709039 39.990337)
384253962,39.8693486,116.4978292,3,node_000006,384253962,,,,POINT (116.4978292 39.8693486)
384253963,39.8694834,116.4987777,3,node_000007,384253963,,,,POINT (116.4987777 39.8694834)
1406795788,39.9268671,116.7288193,4,node_000008,1406795788,,,,POINT (116.7288193 39.9268671)
321617933,39.8008911,116.340028,3,node_000009,321617933,,,,POINT (116.340028 39.8008911)
8823259149,39.9392258,116.2069313,3,node_000010,8823259149,,,,POINT (116.2069313 39.9392258)
249561104,39.9899503,116.3710477,3,node_000011,249561104,motorway_junction,2,,POINT (116.3710477 39.9899503)
279855121,39.9687079,116.2676192,3,node_000012,279855121,,,,POINT (116.2676192 39.9687079)
8823259155,39.9392278,116.2042453,3,node_000013,8823259155,,,,POINT (116.2042453 39.9392278)
1406795796,39.9278636,116.7342739,3,node_000014,1406795796,,,,POINT (116.7342739 39.9278636)
605962260,39.8187055,116.33907,3,node_000015,605962260,,,,POINT (116.33907 39.8187055)
11205361687,39.858685,116.2373687,3,node_000016,11205361687,,,,POINT (116.2373687 39.858685)
8823259165,39.9392207,116.2046709,3,node_000017,8823259165,motorway_junction,,,POINT (116.2046709 39.9392207)
1637646369,39.8476923,116.2256403,4,node_000018,1637646369,traffic_signals,,,POINT (116.2256403 39.8476923)
279855139,39.9684423,116.2699917,3,node_000019,279855139,,,,POINT (116.2699917 39.9684423)
1637646373,39.8479958,116.2253303,4,node_000020,1637646373,traffic_signals,,,POINT (116.2253303 39.8479958)
610844719,40.136438,116.2590464,3,node_000021,610844719,,,,POINT (116.2590464 40.136438)
1637646385,39.8527789,116.2314786,3,node_000022,1637646385,,,,POINT (116.2314786 39.8527789)
610844725,40.1365929,116.2590867,3,node_000023,610844725,motorway_junction,22,,POINT (116.2590867 40.1365929)
289275959,39.9686052,116.2676222,3,node_000024,289275959,,,,POINT (116.2676222 39.9686052)
4714905655,39.8838769,116.6614263,4,node_000025,4714905655,,,,POINT (116.6614263 39.8838769)
289275967,39.9667395,116.2685817,3,node_000026,289275967,,,,POINT (116.2685817 39.9667395)
610844739,40.1382311,116.258292,3,node_000027,610844739,,,,POINT (116.258292 40.1382311)
1637646404,39.8619015,116.2450131,3,node_000028,1637646404,,,,POINT (116.2450131 39.8619015)
11205361731,39.8551837,116.2339454,4,node_000029,11205361731,,,,POINT (116.2339454 39.8551837)
1637646406,39.8622739,116.2455368,3,node_000030,1637646406,,,,POINT (116.2455368 39.8622739)
4748148814,40.0510222,116.6059567,3,node_000031,4748148814,,,,POINT (116.6059567 40.0510222)
8736112732,40.0146084,116.4594204,4,node_000032,8736112732,,,,POINT (116.4594204 40.0146084)
245104733,39.8681255,116.4151802,3,node_000033,245104733,,,,POINT (116.4151802 39.8681255)
2494906467,40.0204162,116.3245362,3,node_000034,2494906467,motorway_junction,42B,,POINT (116.3245362 40.0204162)
4714905701,39.8907275,116.6190013,3,node_000035,4714905701,,,,POINT (116.6190013 39.8907275)
321421415,39.9423684,116.2686999,3,node_000036,321421415,,,,POINT (116.2686999 39.9423684)
2494906473,40.0190244,116.3189619,3,node_000037,2494906473,,,,POINT (116.3189619 40.0190244)
321421418,39.9487114,116.269518,3,node_000038,321421418,,,,POINT (116.269518 39.9487114)
1637646449,39.8666038,116.2572532,3,node_000039,1637646449,,,,POINT (116.2572532 39.8666038)
610910322,39.9912164,116.3702966,3,node_000040,610910322,,,,POINT (116.3702966 39.9912164)
1637646452,39.8706323,116.2735893,3,node_000041,1637646452,,,,POINT (116.2735893 39.8706323)
4414947447,39.7203495,116.2121871,4,node_000042,4414947447,,,,POINT (116.2121871 39.7203495)
4414947448,39.7203484,116.2123233,4,node_000043,4414947448,,,,POINT (116.2123233 39.7203484)
1637646457,39.8722076,116.2679888,3,node_000044,1637646457,,,,POINT (116.2679888 39.8722076)
2494906488,40.017012,116.3233014,3,node_000045,2494906488,,,,POINT (116.3233014 40.017012)
605257852,39.982296,116.7043448,3,node_000046,605257852,motorway_junction,10,,POINT (116.7043448 39.982296)
2494906493,40.0177441,116.3153589,3,node_000047,2494906493,motorway_junction,42,,POINT (116.3153589 40.0177441)
605257856,39.9858972,116.7042452,3,node_000048,605257856,,,,POINT (116.7042452 39.9858972)
605257860,39.9858178,116.7028813,4,node_000049,605257860,traffic_signals,,,POINT (116.7028813 39.9858178)
605257863,39.9825116,116.7041369,3,node_000050,605257863,,,,POINT (116.7041369 39.9825116)
11517182092,39.7173419,116.6823815,3,node_000051,11517182092,,,,POINT (116.6823815 39.7173419)
1637646480,39.8726722,116.2685663,3,node_000052,1637646480,,,,POINT (116.2685663 39.8726722)
1226801299,40.0389716,116.5341813,3,node_000053,1226801299,motorway_junction,5,,POINT (116.5341813 40.0389716)
2494906516,40.0187621,116.3214526,3,node_000054,2494906516,,,,POINT (116.3214526 40.0187621)
2494906517,40.0183902,116.319017,3,node_000055,2494906517,,,,POINT (116.319017 40.0183902)
320520340,39.7506281,116.5672438,3,node_000056,320520340,,,,POINT (116.5672438 39.7506281)
611025058,39.696066,116.1451485,3,node_000057,611025058,,,,POINT (116.1451485 39.696066)
336380069,39.9071777,116.4260281,3,node_000058,336380069,,,,POINT (116.4260281 39.9071777)
1637646520,39.8748833,116.2745306,3,node_000060,1637646520,,,,POINT (116.2745306 39.8748833)
320520395,39.7472939,116.5675243,3,node_000061,320520395,motorway_junction,13,,POINT (116.5675243 39.7472939)
610844876,40.1106376,116.2751997,3,node_000062,610844876,,,,POINT (116.2751997 40.1106376)
6015615181,39.7144647,116.3793871,3,node_000063,6015615181,,,,POINT (116.3793871 39.7144647)
8269054160,39.8650375,116.7030752,3,node_000064,8269054160,,,,POINT (116.7030752 39.8650375)
12553961695,39.7125503,116.5844124,4,node_000065,12553961695,,,,POINT (116.5844124 39.7125503)
12553961696,39.7127232,116.584411,4,node_000066,12553961696,,,,POINT (116.584411 39.7127232)
12472910049,39.8942157,116.3041426,3,node_000067,12472910049,,,,POINT (116.3041426 39.8942157)
380731617,39.9839167,116.2980849,3,node_000068,380731617,motorway_junction,44B,,POINT (116.2980849 39.9839167)
4752769249,39.6795448,116.0834132,3,node_000069,4752769249,motorway_junction,32,,POINT (116.0834132 39.6795448)
11510333666,39.7639536,116.1801177,3,node_000070,11510333666,,,,POINT (116.1801177 39.7639536)
1226801381,40.0409773,116.5188507,3,node_000071,1226801381,,,,POINT (116.5188507 40.0409773)
1637646565,39.8774021,116.2832867,3,node_000072,1637646565,,,,POINT (116.2832867 39.8774021)
1637646566,39.8775612,116.2847054,3,node_000073,1637646566,motorway_junction,1,,POINT (116.2847054 39.8775612)
1637646567,39.8775691,116.2854248,3,node_000074,1637646567,,,,POINT (116.2854248 39.8775691)
1637646568,39.8776755,116.2839846,3,node_000075,1637646568,,,,POINT (116.2839846 39.8776755)
2047656163,39.9752746,116.2812014,3,node_000076,2047656163,,,,POINT (116.2812014 39.9752746)
12553961700,39.7104609,116.5717594,4,node_000077,12553961700,,,,POINT (116.5717594 39.7104609)
2047656165,39.9761472,116.2816547,3,node_000078,2047656165,,,,POINT (116.2816547 39.9761472)
6341247206,39.8775425,116.2897335,3,node_000079,6341247206,,,,POINT (116.2897335 39.8775425)
1226801395,40.0332989,116.5763358,3,node_000080,1226801395,,,,POINT (116.5763358 40.0332989)
605323509,39.8100412,116.3390008,4,node_000081,605323509,motorway_junction,,,POINT (116.3390008 39.8100412)
1226801397,40.0388464,116.5341652,3,node_000082,1226801397,,,,POINT (116.5341652 40.0388464)
1637646583,39.8792683,116.2923739,3,node_000083,1637646583,,,,POINT (116.2923739 39.8792683)
244252919,39.9392264,116.3510133,3,node_000084,244252919,,,,POINT (116.3510133 39.9392264)
2873901304,40.0194877,116.3786314,4,node_000085,2873901304,,,,POINT (116.3786314 40.0194877)
1637646586,39.8792729,116.2930986,3,node_000086,1637646586,motorway_junction,1,,POINT (116.2930986 39.8792729)
529547515,39.8737864,116.2777086,3,node_000087,529547515,traffic_signals,,,POINT (116.2777086 39.8737864)
1637646592,39.8800773,116.2967994,3,node_000088,1637646592,motorway_junction,0C,,POINT (116.2967994 39.8800773)
9123496197,39.6851846,116.2050921,3,node_000089,9123496197,,,,POINT (116.2050921 39.6851846)
1637646599,39.8812206,116.3000421,4,node_000090,1637646599,,,,POINT (116.3000421 39.8812206)
605323528,39.8054214,116.3392726,3,node_000091,605323528,motorway_junction,,,POINT (116.3392726 39.8054214)
1637646602,39.8815778,116.3005654,3,node_000092,1637646602,,,,POINT (116.3005654 39.8815778)
9123496204,39.6845572,116.2048225,3,node_000093,9123496204,,,,POINT (116.2048225 39.6845572)
9123496212,39.6834426,116.2040881,3,node_000094,9123496212,,,,POINT (116.2040881 39.6834426)
1637646613,39.8836003,116.3046188,3,node_000095,1637646613,,,,POINT (116.3046188 39.8836003)
266109208,39.9070814,116.4189377,3,node_000096,266109208,,,,POINT (116.4189377 39.9070814)
1637646617,39.8862274,116.3041792,3,node_000097,1637646617,,,,POINT (116.3041792 39.8862274)
289276184,39.9681676,116.2704808,3,node_000098,289276184,,,,POINT (116.2704808 39.9681676)
1211859227,40.0515909,116.5922964,3,node_000099,1211859227,,,,POINT (116.5922964 40.0515909)
9123496220,39.6836284,116.2040753,3,node_000100,9123496220,,,,POINT (116.2040753 39.6836284)
9123496223,39.6867901,116.2057625,3,node_000101,9123496223,,,,POINT (116.2057625 39.6867901)
1637646624,39.8868086,116.3039972,3,node_000102,1637646624,,,,POINT (116.3039972 39.8868086)
1637646625,39.8912199,116.3039893,3,node_000103,1637646625,,,,POINT (116.3039893 39.8912199)
1637646626,39.8926711,116.3041676,3,node_000104,1637646626,motorway_junction,,,POINT (116.3041676 39.8926711)
1211859237,40.051734,116.592271,3,node_000105,1211859237,,,,POINT (116.592271 40.051734)
35553582,39.9143716,116.4558919,3,node_000106,35553582,,,,POINT (116.4558919 39.9143716)
1765245230,39.8384851,116.4684562,3,node_000107,1765245230,,,,POINT (116.4684562 39.8384851)
2057273647,39.9871153,116.4126609,3,node_000108,2057273647,,,,POINT (116.4126609 39.9871153)
9123496241,39.688842,116.2062097,3,node_000109,9123496241,,,,POINT (116.2062097 39.688842)
2057273650,39.9872842,116.4130564,3,node_000110,2057273650,,,,POINT (116.4130564 39.9872842)
1211859258,40.0606091,116.5834844,3,node_000111,1211859258,,,,POINT (116.5834844 40.0606091)
6431031614,39.9231064,116.153493,3,node_000112,6431031614,,,,POINT (116.153493 39.9231064)
1652916545,40.0969715,116.3291604,3,node_000113,1652916545,,,,POINT (116.3291604 40.0969715)
1226801474,40.0408585,116.5188376,3,node_000114,1226801474,motorway_junction,5,,POINT (116.5188376 40.0408585)
529547599,39.8753404,116.2820714,3,node_000115,529547599,traffic_signals,,,POINT (116.2820714 39.8753404)
124174677,39.9060507,116.3228902,3,node_000116,124174677,,,,POINT (116.3228902 39.9060507)
1765245278,39.8403771,116.4699621,4,node_000117,1765245278,,,,POINT (116.4699621 39.8403771)
237535582,39.9661735,116.3556292,3,node_000118,237535582,,,,POINT (116.3556292 39.9661735)
331006306,39.8051804,116.4682505,3,node_000119,331006306,,,,POINT (116.4682505 39.8051804)
9128542575,39.7078646,116.4733248,3,node_000120,9128542575,,,,POINT (116.4733248 39.7078646)
